HATS_F12_YYYY,HATS_F12_MM,HATS_NH_F12,HATS_NH_F12_sd,HATS_SH_F12,HATS_SH_F12_sd,HATS_Global_F12,HATS_Global_F12_sd,HATS_alt_F12,HATS_alt_F12_sd,HATS_sum_F12,HATS_sum_F12_sd,HATS_brw_F12,HATS_brw_F12_sd,HATS_mhd_F12,HATS_mhd_F12_sd,HATS_thd_F12,HATS_thd_F12_sd,HATS_nwr_F12,HATS_nwr_F12_sd,HATS_kum_F12,HATS_kum_F12_sd,HATS_mlo_F12,HATS_mlo_F12_sd,HATS_smo_F12,HATS_smo_F12_sd,HATS_cgo_F12,HATS_cgo_F12_sd,HATS_psa_F12,HATS_psa_F12_sd,HATS_spo_F12,HATS_spo_F12_sd,HATS_F12_Programs
1977,8,nan,nan,239.742,10.152,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,258.912,7.670,nan,nan,nan,nan,240.043,11.080,nan,nan,nan,nan,238.309,3.037,100000
1977,9,261.012,7.784,241.507,10.190,251.260,12.822,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,262.056,4.711,nan,nan,260.165,9.580,241.717,11.120,nan,nan,nan,nan,240.505,3.058,100000
1977,10,264.758,3.816,243.643,8.337,254.201,9.169,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,264.897,4.388,nan,nan,264.646,3.280,243.777,9.060,nan,nan,nan,nan,243.001,3.087,100000
1977,11,267.885,7.805,245.989,12.304,256.937,14.571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,267.195,5.866,nan,nan,268.446,9.080,246.136,13.460,nan,nan,nan,nan,245.284,3.081,100000
1977,12,270.677,9.882,248.571,13.108,259.624,16.415,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,269.529,11.640,nan,nan,271.609,8.180,248.913,14.180,nan,nan,nan,nan,246.941,5.690,100000
1978,1,273.196,10.146,251.186,15.354,262.191,18.403,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,271.890,4.884,nan,nan,274.257,12.930,251.892,16.820,nan,nan,nan,nan,247.823,3.304,100000
1978,2,274.819,4.963,253.342,7.383,264.081,8.896,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,273.341,4.788,nan,nan,276.020,5.100,254.473,7.980,nan,nan,nan,nan,247.954,3.283,100000
1978,3,275.703,11.686,254.984,5.743,265.343,13.021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,273.730,5.330,nan,nan,277.306,14.980,256.420,6.138,nan,nan,nan,nan,248.139,3.260,100000
1978,4,278.844,7.770,256.382,5.743,267.613,9.662,nan,nan,nan,nan,289.755,8.660,nan,nan,nan,nan,275.277,4.911,nan,nan,279.267,9.300,257.894,6.127,nan,nan,nan,nan,249.175,3.361,100000
1978,5,281.501,4.986,257.283,12.621,269.392,13.570,nan,nan,nan,nan,287.160,6.764,nan,nan,nan,nan,279.664,4.685,nan,nan,281.710,4.742,258.649,13.800,nan,nan,nan,nan,250.772,3.303,100000
1978,6,284.542,7.465,257.641,11.372,271.091,13.603,nan,nan,nan,nan,285.961,6.116,nan,nan,nan,nan,285.712,6.429,nan,nan,283.269,8.460,258.753,12.420,nan,nan,nan,nan,252.345,3.245,100000
1978,7,286.684,10.211,257.731,9.006,272.208,13.615,nan,nan,nan,nan,286.105,6.690,nan,nan,nan,nan,290.808,6.440,nan,nan,283.465,12.990,258.595,9.800,nan,nan,nan,nan,253.619,3.150,100000
1978,8,287.636,7.706,258.132,13.517,272.884,15.559,nan,nan,nan,nan,287.770,5.297,nan,nan,nan,nan,293.639,9.800,nan,nan,282.730,6.060,258.916,14.800,nan,nan,nan,nan,254.398,3.097,100000
1978,9,287.864,5.833,259.395,13.388,273.629,14.604,nan,nan,nan,nan,291.228,7.470,nan,nan,nan,nan,293.712,5.672,nan,nan,282.350,5.530,260.302,14.660,nan,nan,nan,nan,255.077,3.046,100000
1978,10,287.993,7.855,261.583,7.604,274.788,10.932,nan,nan,nan,nan,294.742,9.500,nan,nan,nan,nan,290.959,8.440,nan,nan,284.054,6.890,262.674,7.140,nan,nan,nan,nan,256.390,9.510,100000
1978,11,288.481,11.543,264.193,11.801,276.337,16.507,nan,nan,nan,nan,296.474,8.500,nan,nan,nan,nan,287.180,16.390,nan,nan,287.726,6.090,265.472,12.900,nan,nan,nan,nan,258.100,3.140,100000
1978,12,289.245,8.930,266.797,13.374,278.021,16.082,nan,nan,nan,nan,296.672,11.720,nan,nan,nan,nan,284.959,3.946,nan,nan,291.043,10.900,268.283,14.540,nan,nan,nan,nan,259.718,4.880,100000
1979,1,289.655,7.834,269.061,8.588,279.358,11.624,nan,nan,nan,nan,296.370,11.930,nan,nan,nan,nan,284.838,7.290,nan,nan,292.045,7.050,270.712,8.700,nan,nan,nan,nan,261.195,8.030,100000
1979,2,289.608,7.652,270.609,9.634,280.109,12.303,nan,nan,nan,nan,296.205,10.770,nan,nan,nan,nan,286.353,7.830,nan,nan,290.756,6.580,272.325,10.460,nan,nan,nan,nan,262.432,3.710,100000
1979,3,290.322,6.848,271.146,8.055,280.734,10.572,nan,nan,nan,nan,296.724,11.890,nan,nan,nan,nan,289.766,4.862,nan,nan,289.321,6.660,272.728,8.760,nan,nan,nan,nan,263.607,2.894,100000
1979,4,292.276,6.218,271.091,11.502,281.684,13.075,nan,nan,nan,nan,297.509,4.690,nan,nan,nan,nan,293.337,5.915,nan,nan,290.227,6.740,272.298,12.580,nan,nan,nan,nan,265.340,2.926,100000
1979,5,293.949,7.288,271.461,8.656,282.705,11.316,nan,nan,nan,nan,297.597,3.488,nan,nan,nan,nan,294.417,8.110,nan,nan,292.741,7.220,272.292,9.420,nan,nan,nan,nan,267.502,3.023,100000
1979,6,294.965,15.209,272.499,11.582,283.732,19.117,nan,nan,nan,nan,297.501,8.100,nan,nan,nan,nan,294.172,16.090,nan,nan,295.035,15.700,273.230,12.660,nan,nan,nan,nan,269.015,3.092,100000
1979,7,296.731,7.509,274.022,14.118,285.376,15.991,nan,nan,nan,nan,298.261,5.560,nan,nan,nan,nan,294.734,7.410,nan,nan,298.007,7.960,274.898,15.460,nan,nan,nan,nan,269.847,3.192,100000
1979,8,299.311,7.791,276.414,14.760,287.863,16.689,nan,nan,nan,nan,299.929,4.710,nan,nan,nan,nan,295.030,11.250,nan,nan,302.648,3.991,277.405,16.160,nan,nan,nan,nan,271.696,3.396,100000
1979,9,301.725,9.690,279.557,12.361,290.641,15.706,nan,nan,nan,nan,302.431,6.570,nan,nan,nan,nan,295.125,10.970,nan,nan,306.926,9.160,280.431,13.500,nan,nan,nan,nan,275.391,3.528,100000
1979,10,304.045,8.178,282.162,12.622,293.104,15.040,nan,nan,nan,nan,305.717,5.520,nan,nan,nan,nan,297.346,7.680,nan,nan,309.108,9.030,282.739,13.780,nan,nan,nan,nan,279.413,3.696,100000
1979,11,306.544,6.570,283.456,17.561,295.000,18.750,nan,nan,nan,nan,308.471,13.110,nan,nan,nan,nan,301.778,6.370,nan,nan,309.978,4.009,283.744,19.020,nan,nan,nan,nan,282.085,7.360,100000
1979,12,309.237,11.623,283.690,10.351,296.464,15.564,nan,nan,nan,nan,309.650,5.950,nan,nan,nan,nan,307.078,17.380,nan,nan,310.898,4.700,283.856,11.000,nan,nan,nan,nan,282.897,6.410,100000
1980,1,312.216,13.064,283.696,10.281,297.956,16.624,nan,nan,nan,nan,309.785,6.400,nan,nan,nan,nan,312.129,16.170,nan,nan,312.837,11.240,284.067,10.880,nan,nan,nan,nan,281.928,6.730,100000
1980,2,314.030,6.372,284.945,10.167,299.487,11.999,nan,nan,nan,nan,310.123,5.880,nan,nan,nan,nan,314.556,4.120,nan,nan,314.490,7.820,285.823,11.100,nan,nan,nan,nan,280.762,2.974,100000
1980,3,313.037,18.554,287.760,25.849,300.398,31.818,nan,nan,nan,nan,311.233,5.720,nan,nan,nan,nan,313.326,3.140,nan,nan,313.211,26.200,289.083,28.400,nan,nan,nan,nan,281.459,2.959,100000
1980,4,311.025,6.323,290.274,42.038,300.650,42.511,nan,nan,nan,nan,312.498,4.700,nan,nan,nan,nan,311.655,4.940,nan,nan,310.179,7.530,291.756,46.120,nan,nan,nan,nan,283.212,7.250,100000
1980,5,311.079,9.436,290.876,27.828,300.977,29.384,nan,nan,nan,nan,312.906,5.970,nan,nan,nan,nan,312.299,12.400,nan,nan,309.674,6.970,292.246,30.580,nan,nan,nan,nan,284.348,2.923,100000
1980,6,313.335,12.938,290.128,9.248,301.731,15.904,nan,nan,nan,nan,312.319,7.190,nan,nan,nan,nan,314.396,8.280,nan,nan,312.704,16.550,290.977,10.040,nan,nan,nan,nan,286.079,3.570,100000
1980,7,315.688,24.392,289.647,8.400,302.668,25.797,nan,nan,nan,nan,311.633,5.910,nan,nan,nan,nan,315.840,30.200,nan,nan,316.484,21.550,289.619,8.940,nan,nan,nan,nan,289.784,5.090,100000
1980,8,316.580,18.651,290.172,7.768,303.376,20.204,nan,nan,nan,nan,312.428,5.910,nan,nan,nan,nan,315.765,4.644,nan,nan,318.184,26.150,289.416,8.440,nan,nan,nan,nan,293.772,2.900,100000
1980,9,315.589,11.926,291.339,7.772,303.464,14.235,nan,nan,nan,nan,316.118,10.450,nan,nan,nan,nan,314.119,16.870,nan,nan,316.662,5.840,290.338,7.640,nan,nan,nan,nan,296.108,8.370,100000
