HATS_F113_YYYY,HATS_F113_MM,HATS_NH_F113,HATS_NH_F113_sd,HATS_SH_F113,HATS_SH_F113_sd,HATS_Global_F113,HATS_Global_F113_sd,HATS_alt_F113,HATS_alt_F113_sd,HATS_sum_F113,HATS_sum_F113_sd,HATS_brw_F113,HATS_brw_F113_sd,HATS_mhd_F113,HATS_mhd_F113_sd,HATS_thd_F113,HATS_thd_F113_sd,HATS_nwr_F113,HATS_nwr_F113_sd,HATS_kum_F113,HATS_kum_F113_sd,HATS_mlo_F113,HATS_mlo_F113_sd,HATS_smo_F113,HATS_smo_F113_sd,HATS_cgo_F113,HATS_cgo_F113_sd,HATS_psa_F113,HATS_psa_F113_sd,HATS_spo_F113,HATS_spo_F113_sd,HATS_F113_Programs
1992,2,82.341,0.248,76.475,0.628,79.408,0.675,83.502,0.495,nan,nan,82.910,0.140,nan,nan,nan,nan,82.470,0.145,nan,nan,82.000,0.295,76.158,0.610,76.880,0.650,nan,nan,nan,nan,000001
1992,3,82.396,0.685,nan,nan,nan,nan,84.146,1.088,nan,nan,82.521,1.845,nan,nan,nan,nan,83.208,0.183,nan,nan,81.545,0.300,76.233,0.679,nan,nan,nan,nan,nan,nan,000001
1992,4,82.580,0.260,76.893,0.453,79.736,0.523,85.432,0.943,nan,nan,83.140,0.500,nan,nan,nan,nan,83.660,0.005,nan,nan,81.310,0.070,77.220,0.552,76.475,0.282,nan,nan,nan,nan,000001
1992,5,82.452,0.325,76.974,1.062,79.713,1.111,85.316,0.734,nan,nan,82.480,0.110,nan,nan,nan,nan,83.282,0.165,nan,nan,81.506,0.387,77.327,1.401,76.522,0.250,nan,nan,nan,nan,000001
1992,6,82.286,0.542,77.466,0.541,79.876,0.766,85.002,0.692,nan,nan,81.522,1.068,nan,nan,nan,nan,82.813,0.087,nan,nan,81.777,0.562,77.902,0.700,76.909,0.203,nan,nan,nan,nan,000001
1992,7,82.688,0.516,77.629,0.933,80.158,1.067,85.577,0.627,nan,nan,82.880,0.756,nan,nan,nan,nan,83.301,0.405,nan,nan,81.878,0.518,78.164,1.280,77.090,0.335,nan,nan,77.090,0.215,000001
1992,8,83.571,0.709,78.109,0.235,80.840,0.747,85.830,0.875,nan,nan,83.385,0.925,nan,nan,nan,nan,84.429,0.430,nan,nan,82.706,0.810,78.423,0.150,78.026,0.299,nan,nan,76.920,0.290,000001
1992,9,83.498,0.772,78.507,0.586,81.002,0.969,85.673,0.496,nan,nan,83.574,0.890,nan,nan,nan,nan,84.682,0.805,nan,nan,82.317,0.735,78.139,0.291,78.470,0.164,nan,nan,80.394,1.660,000001
1992,10,82.870,0.676,78.070,0.326,80.470,0.751,85.166,0.561,nan,nan,82.623,0.735,nan,nan,nan,nan,84.012,0.589,nan,nan,81.786,0.736,78.186,0.366,77.949,0.109,nan,nan,77.970,0.570,000001
1992,11,82.816,0.541,78.866,0.609,80.841,0.815,85.438,0.418,nan,nan,83.278,0.643,nan,nan,nan,nan,83.848,0.647,nan,nan,81.630,0.417,79.038,0.531,78.328,0.383,nan,nan,80.052,1.276,000001
1992,12,83.323,0.435,79.793,0.592,81.558,0.734,85.576,0.294,nan,nan,82.933,0.422,nan,nan,nan,nan,84.048,0.581,nan,nan,82.612,0.282,80.060,0.427,79.248,0.410,nan,nan,80.553,1.353,000001
1993,1,83.231,0.434,79.642,0.617,81.436,0.754,85.407,0.295,nan,nan,82.882,0.383,nan,nan,nan,nan,84.225,0.529,nan,nan,82.301,0.365,79.715,0.699,79.497,0.302,nan,nan,79.836,0.971,000001
1993,2,83.436,0.345,79.868,0.462,81.652,0.577,85.151,0.151,nan,nan,83.277,0.272,nan,nan,nan,nan,84.440,0.480,nan,nan,82.496,0.220,80.156,0.286,79.364,0.190,nan,nan,80.370,1.225,000001
1993,3,83.750,0.377,79.846,0.586,81.798,0.697,85.309,0.310,nan,nan,84.139,0.726,nan,nan,nan,nan,84.548,0.389,nan,nan,82.869,0.226,79.708,0.699,79.522,0.195,nan,nan,81.710,0.890,000001
1993,4,83.610,0.150,79.436,0.612,81.523,0.630,86.014,0.228,nan,nan,83.278,0.245,nan,nan,nan,nan,84.248,0.160,nan,nan,82.943,0.095,79.374,0.764,79.042,0.238,nan,nan,81.206,0.751,000001
1993,5,83.246,0.319,79.669,0.619,81.457,0.696,85.627,0.303,nan,nan,81.890,0.040,nan,nan,nan,nan,84.036,0.380,nan,nan,82.690,0.300,79.866,0.793,78.947,0.085,nan,nan,81.419,0.781,000001
1993,6,83.406,0.191,80.534,0.254,81.970,0.318,85.372,0.422,nan,nan,82.539,0.357,nan,nan,nan,nan,83.982,0.095,nan,nan,82.952,0.159,80.932,0.070,79.619,0.198,nan,nan,82.050,0.667,000001
1993,7,83.798,0.183,80.710,0.394,82.254,0.435,84.944,0.469,nan,nan,84.216,0.175,nan,nan,nan,nan,84.244,0.232,nan,nan,83.234,0.029,80.899,0.450,79.975,0.150,nan,nan,82.556,0.652,000001
1993,8,83.818,0.198,81.369,0.580,82.593,0.613,85.160,0.485,nan,nan,84.845,0.245,nan,nan,nan,nan,84.068,0.140,nan,nan,83.257,0.180,81.620,0.630,81.048,0.375,nan,nan,81.371,0.882,000001
1993,9,83.891,0.232,81.545,0.655,82.718,0.694,85.392,0.455,nan,nan,84.377,0.395,nan,nan,nan,nan,84.089,0.189,nan,nan,83.481,0.175,81.826,0.534,81.254,0.799,nan,nan,81.288,0.573,000001
1993,10,84.136,0.184,81.421,0.724,82.778,0.747,85.646,0.234,nan,nan,84.299,0.140,nan,nan,nan,nan,84.409,0.253,nan,nan,83.737,0.101,81.392,0.795,81.255,0.690,nan,nan,82.179,0.434,000001
1993,11,84.231,0.267,81.515,1.292,82.873,1.320,85.780,0.245,nan,nan,85.123,0.295,nan,nan,nan,nan,84.492,0.375,nan,nan,83.673,0.113,81.994,1.700,80.463,0.665,nan,nan,83.156,0.661,000001
1993,12,84.140,0.288,81.944,0.510,83.042,0.586,86.214,0.470,nan,nan,84.958,0.430,nan,nan,nan,nan,84.312,0.358,nan,nan,83.622,0.104,82.680,0.270,80.936,0.706,nan,nan,82.193,0.513,000001
1994,1,84.128,0.172,81.635,0.438,82.882,0.471,85.749,0.151,nan,nan,84.247,0.045,nan,nan,nan,nan,84.466,0.272,nan,nan,83.676,0.021,82.406,0.470,80.570,0.405,nan,nan,81.931,0.400,000001
1994,2,83.958,0.550,82.125,0.640,83.042,0.843,85.047,0.252,nan,nan,84.230,0.744,nan,nan,nan,nan,84.232,0.775,nan,nan,83.573,0.157,82.200,0.774,82.048,0.449,nan,nan,82.054,0.528,000001
1994,3,84.090,0.691,82.795,0.627,83.443,0.933,85.473,0.710,nan,nan,84.701,0.819,nan,nan,nan,nan,84.066,0.825,nan,nan,83.844,0.514,82.567,0.480,83.116,0.815,nan,nan,82.683,0.404,000001
